conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.925507692950692e+18,Thu May 22 11:03:02 +0000 2025,1,"Anggota Komisi IX DPR RI, Nurhadi, menyoroti maraknya iklan dan peredaran produk kecantikan seperti skincare yang tidak bersertifikasi atau ilegal. Pengawasan dari Badan Pengawas Obat dan Makanan (BPOM) sebagai pemangku kebijakan pada sektor tersebut dipertanyakan. Legislator https://t.co/PzbcHH9zpu",1.925507692950692e+18,https://pbs.twimg.com/media/GrjHCRHboAEX-dU.jpg,,in,,0,0,0,https://x.com/NasDem/status/1925507692950692120,109149190.0,NasDem
1.9207754141479158e+18,Sat May 10 03:11:14 +0000 2025,1,"@kittybuter Berarti produk yang lu jual ilegal itu, ga terdaftar di bpom, setau gw kalo udah menjual seperti itu berarti biasanya ada sindikatnya soalnya pasti bukan partai kecil itu, soalnya kan banyak yang ilegal ya kalo urusan skincare, nah mungkin itulah kenapa lu bisa ketangkep",1.9210403028627377e+18,,kittybuter,in,,0,0,0,https://x.com/MakibaoEra/status/1921040302862737763,1.7270277345500529e+18,MakibaoEra
1.9186331890081262e+18,Sat May 03 11:46:13 +0000 2025,0,Skincare ilegal merujuk pada produk perawatan kulit yang dipasarkan tanpa izin resmi dari badan pengawas seperti Badan Pengawas Obat dan Makanan (BPOM). https://t.co/C2GN4HITVc,1.9186331890081262e+18,,,in,,0,0,0,https://x.com/inikamindonesia/status/1918633189008126171,1.67218239765862e+18,inikamindonesia
1.9167005917508652e+18,Mon Apr 28 12:43:01 +0000 2025,0,"@davidgoliath999 @kegblgnunfaedh Ngga tentu, kn jmn sekarang yg ilegal aja bnyk yg bilang berijin, contoh lain kosmetik/skincare bilangnya udah bpom ternyata apa g ada no. Bpomnya🤣",1.916835545965089e+18,,davidgoliath999,in,,0,0,0,https://x.com/SASAI89929367/status/1916835545965089128,1.1767953279882609e+18,SASAI89929367
1.9145125388444554e+18,Tue Apr 22 02:52:13 +0000 2025,1,"91 Daftar Skincare dan Kosmetik Ilegal Berbahaya Tahun 2025 Temuan BPOM, ada TABITA hingga CINDYNAL https://t.co/4rOmcQ8LAw via @tribunshopping_",1.9145125388444554e+18,,,in,,0,0,2,https://x.com/tribunshopping_/status/1914512538844455324,1.3901771364560445e+18,tribunshopping_
1.9080979110257014e+18,Fri Apr 04 10:58:53 +0000 2025,0,"@Kiranadeira Duit bisa bikin skincare ilegal jadi ""aman"" di mata BPOM. Gila banget! #TangkapBosHidrokuinon",1.9081120314521682e+18,,Kiranadeira,in,,0,0,0,https://x.com/sanchhyo/status/1908112031452168222,1.7273002981488845e+18,sanchhyo
1.9044267747271887e+18,Tue Mar 25 06:55:00 +0000 2025,0,"Abis liat yang viral skincare Heni ternyata berbahaya, untung belum pernah pake. Kenapa bisa masih beredar ? Jangan² punya orang dalam BPOM ? #HeniSagaraMafiaSkincare
Usut Kosmetik Ilegal https://t.co/wch51OhaiJ",1.9044267747271887e+18,https://pbs.twimg.com/media/Gm3c4Uxb0AAFBjZ.jpg,,in,,0,0,0,https://x.com/Burhan_Rhs/status/1904426774727188764,7.674080339493233e+17,Burhan_Rhs
1.9044236986330358e+18,Tue Mar 25 06:42:46 +0000 2025,22,"Serem banget lihat yang viral, skincare Heni ternyata berbahaya! Kok bisa sih tetap dijual bebas? Ada yang ‘backup’ di BPOM? Jangan sampai banyak yang kena dampaknya! #HeniSagaraMafiaSkincare Usut Kosmetik Ilegal https://t.co/RcMEFgS1Vv",1.9044236986330358e+18,https://pbs.twimg.com/media/Gm3fOfsbsAAhDFW.jpg,,in,,0,6,5,https://x.com/hana_luci4/status/1904423698633035892,1.1169468017334231e+18,hana_luci4
1.9040302559266775e+18,Mon Mar 24 06:29:26 +0000 2025,4,"Masalah kosmetik ilegal, overklaim produk kesehatan, temuan bahan berbahaya, mafia skincare, dll mewarnai percakapan tentang BPOM dari awal tahun hingga sekarang. https://t.co/6RvtBw02ar",1.9040579524678656e+18,https://pbs.twimg.com/media/GmySVl_aYAA5tuP.jpg,ismailfahmi,in,,0,1,1,https://x.com/ismailfahmi/status/1904057952467865629,34075325.0,ismailfahmi
1.9036829376961823e+18,Sun Mar 23 05:39:15 +0000 2025,1,"7 Kosmetik Ilegal Ini Mengandung Merkuri dan Hidrokinon, Ini Bahayanya Menurut BPOM
https://t.co/7np7ekonkm.
Jadi korban skincare ilegal, konsultasi dengan pengacara di Tnos App, sepuasnya cuma 400 Rb melalui video call. Perlu didampingi pengacara https://t.co/4q7xVrEc78",1.9036829376961823e+18,https://pbs.twimg.com/media/Gms9ZxCbAAAwT6d.jpg,,in,,0,0,0,https://x.com/tnos_world/status/1903682937696182388,1.5101829301274173e+18,tnos_world
